Date,y1,y2,y3,y4,y5,y6,sum
19/12/2010,16,21,24,29,35,54,179
22/12/2010,10,14,20,31,37,38,150
25/12/2010,1,6,20,32,40,54,153
26/12/2010,11,17,26,40,48,52,194
28/12/2010,5,22,46,55,57,58,243
29/12/2010,18,32,45,50,51,53,249
1/1/2011,8,13,25,26,30,35,137
2/1/2011,11,27,33,37,44,51,203
5/1/2011,16,20,21,27,28,54,166
8/1/2011,10,14,15,16,25,46,126
9/1/2011,1,5,11,13,16,27,73
12/1/2011,4,5,13,20,23,35,100
15/01/2011,16,22,33,35,39,43,188
16/01/2011,4,7,18,31,54,55,169
19/01/2011,9,34,42,48,52,53,238
22/01/2011,9,13,18,28,33,47,148
23/01/2011,6,22,27,30,51,52,188
25/01/2011,16,26,33,35,40,43,193
26/01/2011,3,12,21,22,28,56,142
29/01/2011,1,22,42,48,51,52,216
30/01/2011,7,9,24,25,33,53,151
1/2/2011,12,20,42,50,51,56,231
2/2/2011,2,21,33,38,47,50,191
5/2/2011,1,12,16,26,35,42,132
6/2/2011,19,20,24,38,46,57,204
8/2/2011,8,14,42,44,49,55,212
9/2/2011,14,26,33,44,47,58,222
12/2/2011,12,24,39,47,48,50,220
13/02/2011,5,7,10,26,29,51,128
16/02/2011,1,10,11,36,41,51,150
19/02/2011,18,37,38,42,53,54,242
20/02/2011,2,3,15,42,48,57,167
22/02/2011,1,11,15,29,45,47,148
23/02/2011,5,6,20,23,26,34,114
26/02/2011,11,15,18,25,47,51,167
27/02/2011,7,13,25,37,44,51,177
1/3/2011,20,23,27,40,45,51,206
2/3/2011,2,3,8,12,39,44,108
5/3/2011,25,39,40,46,47,55,252
6/3/2011,1,13,14,20,23,53,124
9/3/2011,10,18,22,26,30,57,163
12/3/2011,5,11,34,36,49,57,192
13/03/2011,10,11,17,19,23,39,119
16/03/2011,4,5,17,19,43,44,132
19/03/2011,14,17,33,40,43,54,201
20/03/2011,2,10,15,20,27,39,113
23/03/2011,11,21,30,31,45,56,194
26/03/2011,26,30,35,38,41,44,214
27/03/2011,9,17,26,29,37,58,176
29/03/2011,4,5,9,20,39,53,130
30/03/2011,7,26,44,46,48,49,220
2/4/2011,4,8,14,35,53,58,172
3/4/2011,5,10,12,18,19,28,92
5/4/2011,3,6,10,32,40,41,132
6/4/2011,6,12,34,44,47,53,196
9/4/2011,9,25,28,33,37,43,175
10/4/2011,6,21,26,43,50,52,198
13/04/2011,5,8,13,23,41,50,140
16/04/2011,8,19,23,28,31,56,165
17/04/2011,5,12,16,25,56,57,171
20/04/2011,6,22,25,26,35,37,151
23/04/2011,1,9,20,21,29,32,112
24/04/2011,10,14,27,40,44,55,190
26/04/2011,1,2,7,8,30,34,82
27/04/2011,10,15,23,40,42,51,181
30/04/2011,6,14,26,33,51,55,185
1/5/2011,3,29,31,44,48,57,212
3/5/2011,20,31,37,42,45,47,222
4/5/2011,6,11,24,29,46,47,163
7/5/2011,1,3,17,18,23,37,99
8/5/2011,2,5,44,49,53,55,208
11/5/2011,5,23,27,39,49,50,193
14/05/2011,11,17,24,45,46,52,195
15/05/2011,1,4,15,23,36,41,120
18/05/2011,18,28,30,46,48,49,219
21/05/2011,4,11,26,30,42,45,158
22/05/2011,6,9,19,27,47,55,163
25/05/2011,17,23,31,35,48,53,207
28/05/2011,16,26,39,44,46,51,222
29/05/2011,7,9,27,28,47,54,172
31/05/2011,1,3,20,36,45,48,153
1/6/2011,1,18,28,41,48,52,188
4/6/2011,1,5,23,25,30,55,139
5/6/2011,3,8,27,30,43,58,169
8/6/2011,1,6,8,42,51,53,161
11/6/2011,1,24,34,37,38,58,192
12/6/2011,2,5,24,49,53,55,188
15/06/2011,5,7,11,20,37,44,124
18/06/2011,1,2,34,45,46,58,186
19/06/2011,6,18,21,26,27,29,127
22/06/2011,18,23,24,38,44,50,197
25/06/2011,2,10,35,36,45,52,180
26/06/2011,8,11,14,27,39,50,149
28/06/2011,5,8,21,39,43,58,174
29/06/2011,3,14,16,19,24,40,116
2/7/2011,16,22,23,28,30,42,161
3/7/2011,1,15,18,19,23,44,120
5/7/2011,3,4,31,32,40,49,159
6/7/2011,3,11,34,35,43,48,174
9/7/2011,5,17,21,37,48,52,180
10/7/2011,1,25,26,43,50,54,199
13/07/2011,2,14,23,26,32,33,130
